state,district,year,JAN-RF,JAN-DEP,FEB-RF,FEB-DEP,MAR-RF,MAR-DEP,APR-RF,APR-DEP,MAY-RF,MAY-DEP,JUN-RF,JUN-DEP,JUL-RF,JUL-DEP,AUG-RF,AUG-DEP,SEP-RF,SEP-DEP,OCT-RF,OCT-DEP,NOV-RF,NOV-DEP,DEC-RF,DEC-DEP
rajasthan,ajmer.txt,2012,0.0,-100,0.0,-100,0.0,-100,5.2,136,17.0,91,11.3,-74,89.5,-48,383.1,147,105.7,76,0.2,-98,0.0,-100
wb,south24parganas.txt,2008,99.0,573,10.5,-50,8.0,-74,50.6,-3,76.4,-27,400.0,48,245.4,-31,297.5,-18,285.3,-11,149.9,-16,0.0,-100
wb,south24parganas.txt,2009,0.0,-100,0.0,-100,20.7,-33,6.0,-88,235.1,125,78.3,-71,409.6,15,318.2,-12,315.7,-1,87.7,-51,31.5,-14
wb,south24parganas.txt,2010,0.0,-100,6.7,-68,1.4,-95,11.3,-75,150.8,66,251.2,-13,246.7,-36,253.4,-32,222.4,-30,148.3,-22,3.4,-92
wb,south24parganas.txt,2011,0.1,-99,3.3,-88,29.2,-23,139.7,235,94.0,-25,419.4,33,202.5,-56,567.3,36,267.6,-25,42.3,-81,0.0,-100
wb,south24parganas.txt,2012,44.8,229,18.1,-32,5.5,-85,42.8,3,42.8,-66,139.7,-56,345.4,-25,327.8,-21,317.5,-11,67.3,-69,38.9,-38
punjab,kapurthala.txt,2008,123.0,-6,583.0,387,6.5,-91,0.0,-100,0.0,-100
punjab,kapurthala.txt,2009,0.0,-100,34.0,121,18.0,-20,40.5,800,2.5,-73,2.5,-93,352.0,169,238.0,99,69.0,-3,0.0,-100,0.0,-100
punjab,kapurthala.txt,2010,0.0,-100,0.0,-100,0.0,-100,0.0,-100,5.7,-37,2.0,-94,221.3,69,49.5,-59,138.0,94,0.0,-100,0.0,-100
punjab,kapurthala.txt,2011,6.0,-78,44.5,112,5.0,-81,10.5,11,1.0,-93,169.2,356,205.2,23,155.9,14,99.4,20,0.0,-100,0.0,-100
